JaAU_S56	1&2	blue3
BothJaOBD	1&2	blue3
AllRoDU	1&2	blue3
AllRoRD	1&2	blue3
AllBzVAD	1&2	blue3
BothSVD	1&2	blue3
JaWTF_S54	1&2	blue3
JaWLU_S67	1&2	blue3
BothJaSVD	1&2	blue3
PRLMH	1&2	blue3
K_marleyi_clean	1&2	blue3
BothRoCMU	1&2	blue3
Korn_hast_c	1&2	blue3
curacao	1&2	blue3
LongWhiteEye	0	grey28
FatWhiteEye_clean	0	grey28
WhiteVanessaLIRS_clean	0	grey28
Jp_Melavar22	0	grey28
PSKO	0	grey28
GlovSkog_clean	0	grey28
BothPara_w	0	grey28
Chlorica	0	grey28
Harb_slatteryi	0	grey28
Euph_microasciformis_clean	0	grey28
AltLiz	0	grey28
Cylindroleberidinae	0	grey28
Gigantocypris_clean	0	grey28
jpcyp2b	0	grey28
BothJaJimGun	0	grey28
LIRSCyp2_clean	1	deepskyblue
Vhilg	1	deepskyblue
BothVhilg_shim	1	deepskyblue
LIRSCyp1_clean	1	deepskyblue
BothPmorini	1&2	blue3
ROWLU_2018	1&2	blue3
BothGPH	1&2	blue3
Gruber_Pannecohenae	1&2	blue3
BothJamescasei	1&2	blue3
Allmacelroy	1&2	blue3
Vtsu	1	deepskyblue
PMMFU	1&2	blue3
RO-AG_S10	1&2	blue3
RoIR_S66	1&2	blue3
AllBzSVU	1&2	blue3
BothRoODH	1&2	blue3
BothJaLSZZ	1&2	blue3
BothJaVAD	1&2	blue3
